ziehen = ťahať, vybrať
er hat gezogen = ťahal, vybral
fallen = spadnúť, padať
er ist gefallen = spadol, padol
verlassen = opustiť, odísť
er hat verlassen = opustil, odišiel
laufen = bežať, utekať
er ist gelaufen = bežal, utekal
gewinnen = vyhrať, získať
er hat gewonnen = vyhral, získal
entscheiden = rozhodnúť, rozhodovať
er hat entschieden = rozhodol, rozhodoval
tragen = niesť, nosiť
er hat getragen = niesol, nosil
übernehmen = prevziať, prebrať
er hat übernommen = prevzal, prebral
helfen = pomôcť, pomáhať
er hat geholfen = pomohol, pomáhal
